filename,width,height,class,xmin,ymin,xmax,ymax
G_283.xml,320,320,A,1,1,320,320
G_1093.xml,320,320,A,1,1,320,320
F_901.xml,320,320,A,1,1,320,320
G_1129.xml,320,320,A,1,1,320,320
F_80.xml,320,320,A,1,1,320,320
G_141.xml,320,320,A,1,1,320,320
F_719.xml,320,320,A,1,1,320,320
F_526.xml,320,320,A,1,1,320,320
G_1308.xml,320,320,A,1,1,320,320
F_55.xml,320,320,A,1,1,320,320
F_871.xml,320,320,A,1,1,320,320
G_630.xml,320,320,A,1,1,320,320
G_514.xml,320,320,A,1,1,320,320
G_435.xml,320,320,A,1,1,320,320
G_1082.xml,320,320,A,1,1,320,320
F_853.xml,320,320,A,1,1,320,320
F_973.xml,320,320,A,1,1,320,320
G_126.xml,320,320,A,1,1,320,320
G_234.xml,320,320,A,1,1,320,320
G_574.xml,320,320,A,1,1,320,320
G_517.xml,320,320,A,1,1,320,320
G_362.xml,320,320,A,1,1,320,320
G_1122.xml,320,320,A,1,1,320,320
G_1215.xml,320,320,A,1,1,320,320
G_347.xml,320,320,A,1,1,320,320
G_447.xml,320,320,A,1,1,320,320
F_891.xml,320,320,A,1,1,320,320
G_111.xml,320,320,A,1,1,320,320
G_1091.xml,320,320,A,1,1,320,320
G_1379.xml,320,320,A,1,1,320,320
G_659.xml,320,320,A,1,1,320,320
G_1132.xml,320,320,A,1,1,320,320
G_395.xml,320,320,A,1,1,320,320
G_1100.xml,320,320,A,1,1,320,320
G_555.xml,320,320,A,1,1,320,320
G_1226.xml,320,320,A,1,1,320,320
G_122.xml,320,320,A,1,1,320,320
F_849.xml,320,320,A,1,1,320,320
G_1350.xml,320,320,A,1,1,320,320
G_1037.xml,320,320,A,1,1,320,320
G_515.xml,320,320,A,1,1,320,320
F_730.xml,320,320,A,1,1,320,320
G_596.xml,320,320,A,1,1,320,320
F_956.xml,320,320,A,1,1,320,320
G_348.xml,320,320,A,1,1,320,320
F_713.xml,320,320,A,1,1,320,320
F_831.xml,320,320,A,1,1,320,320
G_245.xml,320,320,A,1,1,320,320
G_355.xml,320,320,A,1,1,320,320
G_1384.xml,320,320,A,1,1,320,320
G_1280.xml,320,320,A,1,1,320,320
G_243.xml,320,320,A,1,1,320,320
F_608.xml,320,320,A,1,1,320,320
G_1227.xml,320,320,A,1,1,320,320
F_509.xml,320,320,A,1,1,320,320
G_206.xml,320,320,A,1,1,320,320
F_94.xml,320,320,A,1,1,320,320
G_662.xml,320,320,A,1,1,320,320
G_1246.xml,320,320,A,1,1,320,320
G_483.xml,320,320,A,1,1,320,320
G_1321.xml,320,320,A,1,1,320,320
G_113.xml,320,320,A,1,1,320,320
G_1109.xml,320,320,A,1,1,320,320
G_291.xml,320,320,A,1,1,320,320
F_780.xml,320,320,A,1,1,320,320
F_637.xml,320,320,A,1,1,320,320
F_883.xml,320,320,A,1,1,320,320
G_16.xml,320,320,A,1,1,320,320
G_1368.xml,320,320,A,1,1,320,320
G_482.xml,320,320,A,1,1,320,320
F_822.xml,320,320,A,1,1,320,320
F_590.xml,320,320,A,1,1,320,320
G_290.xml,320,320,A,1,1,320,320
G_656.xml,320,320,A,1,1,320,320
F_809.xml,320,320,A,1,1,320,320
G_1145.xml,320,320,A,1,1,320,320
G_529.xml,320,320,A,1,1,320,320
G_1250.xml,320,320,A,1,1,320,320
G_1347.xml,320,320,A,1,1,320,320
F_759.xml,320,320,A,1,1,320,320
F_787.xml,320,320,A,1,1,320,320
G_1148.xml,320,320,A,1,1,320,320
G_397.xml,320,320,A,1,1,320,320
F_783.xml,320,320,A,1,1,320,320
G_1047.xml,320,320,A,1,1,320,320
G_247.xml,320,320,A,1,1,320,320
F_762.xml,320,320,A,1,1,320,320
G_1270.xml,320,320,A,1,1,320,320
G_1257.xml,320,320,A,1,1,320,320
G_324.xml,320,320,A,1,1,320,320
G_244.xml,320,320,A,1,1,320,320
G_1200.xml,320,320,A,1,1,320,320
G_1194.xml,320,320,A,1,1,320,320
G_1302.xml,320,320,A,1,1,320,320
G_309.xml,320,320,A,1,1,320,320
F_9.xml,320,320,A,1,1,320,320
G_1107.xml,320,320,A,1,1,320,320
F_505.xml,320,320,A,1,1,320,320
F_547.xml,320,320,A,1,1,320,320
G_18.xml,320,320,A,1,1,320,320
F_528.xml,320,320,A,1,1,320,320
G_364.xml,320,320,A,1,1,320,320
G_393.xml,320,320,A,1,1,320,320
G_491.xml,320,320,A,1,1,320,320
G_39.xml,320,320,A,1,1,320,320
F_774.xml,320,320,A,1,1,320,320
F_804.xml,320,320,A,1,1,320,320
F_858.xml,320,320,A,1,1,320,320
F_621.xml,320,320,A,1,1,320,320
G_672.xml,320,320,A,1,1,320,320
G_1281.xml,320,320,A,1,1,320,320
F_799.xml,320,320,A,1,1,320,320
G_186.xml,320,320,A,1,1,320,320
G_295.xml,320,320,A,1,1,320,320
G_1180.xml,320,320,A,1,1,320,320
G_1108.xml,320,320,A,1,1,320,320
F_781.xml,320,320,A,1,1,320,320
G_370.xml,320,320,A,1,1,320,320
G_1188.xml,320,320,A,1,1,320,320
F_718.xml,320,320,A,1,1,320,320
G_1261.xml,320,320,A,1,1,320,320
G_164.xml,320,320,A,1,1,320,320
G_1367.xml,320,320,A,1,1,320,320
G_200.xml,320,320,A,1,1,320,320
F_693.xml,320,320,A,1,1,320,320
G_466.xml,320,320,A,1,1,320,320
G_1360.xml,320,320,A,1,1,320,320
F_567.xml,320,320,A,1,1,320,320
G_134.xml,320,320,A,1,1,320,320
F_920.xml,320,320,A,1,1,320,320
G_1243.xml,320,320,A,1,1,320,320
G_237.xml,320,320,A,1,1,320,320
F_492.xml,320,320,A,1,1,320,320
F_995.xml,320,320,A,1,1,320,320
G_66.xml,320,320,A,1,1,320,320
G_621.xml,320,320,A,1,1,320,320
G_473.xml,320,320,A,1,1,320,320
G_361.xml,320,320,A,1,1,320,320
G_263.xml,320,320,A,1,1,320,320
G_1165.xml,320,320,A,1,1,320,320
G_1232.xml,320,320,A,1,1,320,320
F_627.xml,320,320,A,1,1,320,320
G_1183.xml,320,320,A,1,1,320,320
F_826.xml,320,320,A,1,1,320,320
F_667.xml,320,320,A,1,1,320,320
F_874.xml,320,320,A,1,1,320,320
G_357.xml,320,320,A,1,1,320,320
G_1168.xml,320,320,A,1,1,320,320
G_307.xml,320,320,A,1,1,320,320
F_845.xml,320,320,A,1,1,320,320
G_242.xml,320,320,A,1,1,320,320
G_0.xml,320,320,A,1,1,320,320
G_475.xml,320,320,A,1,1,320,320
G_542.xml,320,320,A,1,1,320,320
G_102.xml,320,320,A,1,1,320,320
G_1357.xml,320,320,A,1,1,320,320
F_677.xml,320,320,A,1,1,320,320
F_521.xml,320,320,A,1,1,320,320
F_549.xml,320,320,A,1,1,320,320
G_48.xml,320,320,A,1,1,320,320
F_897.xml,320,320,A,1,1,320,320
F_666.xml,320,320,A,1,1,320,320
G_1233.xml,320,320,A,1,1,320,320
G_499.xml,320,320,A,1,1,320,320
G_107.xml,320,320,A,1,1,320,320
G_112.xml,320,320,A,1,1,320,320
F_566.xml,320,320,A,1,1,320,320
G_1316.xml,320,320,A,1,1,320,320
G_1279.xml,320,320,A,1,1,320,320
G_1092.xml,320,320,A,1,1,320,320
G_161.xml,320,320,A,1,1,320,320
G_1060.xml,320,320,A,1,1,320,320
G_140.xml,320,320,A,1,1,320,320
G_211.xml,320,320,A,1,1,320,320
F_724.xml,320,320,A,1,1,320,320
G_264.xml,320,320,A,1,1,320,320
G_1043.xml,320,320,A,1,1,320,320
G_642.xml,320,320,A,1,1,320,320
F_984.xml,320,320,A,1,1,320,320
G_1269.xml,320,320,A,1,1,320,320
G_618.xml,320,320,A,1,1,320,320
