,filename,width,height,class,xmin,ymin,xmax,ymax
0,A_0.jpg,320,320,A,1,1,320,320
1,A_1.jpg,320,320,A,1,1,320,320
2,A_10.jpg,320,320,A,1,1,320,320
3,A_1000.jpg,320,320,A,1,1,320,320
4,A_1001.jpg,320,320,A,1,1,320,320
5,A_1002.jpg,320,320,A,1,1,320,320
6,A_1003.jpg,320,320,A,1,1,320,320
7,A_1004.jpg,320,320,A,1,1,320,320
8,A_1005.jpg,320,320,A,1,1,320,320
9,A_1006.jpg,320,320,A,1,1,320,320
10,A_1007.jpg,320,320,A,1,1,320,320
11,A_1008.jpg,320,320,A,1,1,320,320
12,A_1009.jpg,320,320,A,1,1,320,320
13,A_1010.jpg,320,320,A,1,1,320,320
14,A_1011.jpg,320,320,A,1,1,320,320
15,A_1012.jpg,320,320,A,1,1,320,320
16,A_1013.jpg,320,320,A,1,1,320,320
17,A_1014.jpg,320,320,A,1,1,320,320
18,A_1015.jpg,320,320,A,1,1,320,320
19,A_1016.jpg,320,320,A,1,1,320,320
20,A_1017.jpg,320,320,A,1,1,320,320
21,A_1019.jpg,320,320,A,1,1,320,320
22,A_102.jpg,320,320,A,1,1,320,320
23,A_1020.jpg,320,320,A,1,1,320,320
24,A_1021.jpg,320,320,A,1,1,320,320
25,A_1022.jpg,320,320,A,1,1,320,320
26,A_1025.jpg,320,320,A,1,1,320,320
27,A_1027.jpg,320,320,A,1,1,320,320
28,A_1029.jpg,320,320,A,1,1,320,320
29,A_103.jpg,320,320,A,1,1,320,320
30,A_1031.jpg,320,320,A,1,1,320,320
31,A_1032.jpg,320,320,A,1,1,320,320
32,A_1034.jpg,320,320,A,1,1,320,320
33,A_1036.jpg,320,320,A,1,1,320,320
34,A_104.jpg,320,320,A,1,1,320,320
35,A_1040.jpg,320,320,A,1,1,320,320
36,A_1041.jpg,320,320,A,1,1,320,320
37,A_1042.jpg,320,320,A,1,1,320,320
38,A_1043.jpg,320,320,A,1,1,320,320
39,A_1044.jpg,320,320,A,1,1,320,320
40,A_1045.jpg,320,320,A,1,1,320,320
41,A_1046.jpg,320,320,A,1,1,320,320
42,A_1047.jpg,320,320,A,1,1,320,320
43,A_1048.jpg,320,320,A,1,1,320,320
44,A_1049.jpg,320,320,A,1,1,320,320
45,A_105.jpg,320,320,A,1,1,320,320
46,A_1050.jpg,320,320,A,1,1,320,320
47,A_1051.jpg,320,320,A,1,1,320,320
48,A_1052.jpg,320,320,A,1,1,320,320
49,A_1053.jpg,320,320,A,1,1,320,320
50,A_1054.jpg,320,320,A,1,1,320,320
51,A_1055.jpg,320,320,A,1,1,320,320
52,A_1056.jpg,320,320,A,1,1,320,320
53,A_1057.jpg,320,320,A,1,1,320,320
54,A_1059.jpg,320,320,A,1,1,320,320
55,A_1060.jpg,320,320,A,1,1,320,320
56,A_1061.jpg,320,320,A,1,1,320,320
57,A_1063.jpg,320,320,A,1,1,320,320
58,A_1064.jpg,320,320,A,1,1,320,320
59,A_1068.jpg,320,320,A,1,1,320,320
60,A_107.jpg,320,320,A,1,1,320,320
61,A_1070.jpg,320,320,A,1,1,320,320
62,A_1071.jpg,320,320,A,1,1,320,320
63,A_1073.jpg,320,320,A,1,1,320,320
64,A_1074.jpg,320,320,A,1,1,320,320
65,A_1075.jpg,320,320,A,1,1,320,320
66,A_1076.jpg,320,320,A,1,1,320,320
67,A_1077.jpg,320,320,A,1,1,320,320
68,A_1078.jpg,320,320,A,1,1,320,320
69,A_1079.jpg,320,320,A,1,1,320,320
70,A_108.jpg,320,320,A,1,1,320,320
71,A_1082.jpg,320,320,A,1,1,320,320
72,A_1083.jpg,320,320,A,1,1,320,320
73,A_1084.jpg,320,320,A,1,1,320,320
74,A_1085.jpg,320,320,A,1,1,320,320
75,A_1087.jpg,320,320,A,1,1,320,320
76,A_1088.jpg,320,320,A,1,1,320,320
77,A_109.jpg,320,320,A,1,1,320,320
78,A_1090.jpg,320,320,A,1,1,320,320
79,A_1092.jpg,320,320,A,1,1,320,320
80,A_1093.jpg,320,320,A,1,1,320,320
81,A_1094.jpg,320,320,A,1,1,320,320
82,A_1095.jpg,320,320,A,1,1,320,320
83,A_1096.jpg,320,320,A,1,1,320,320
84,A_1097.jpg,320,320,A,1,1,320,320
85,A_1098.jpg,320,320,A,1,1,320,320
86,A_1099.jpg,320,320,A,1,1,320,320
